--- TABLE SIZES ---
church_pageview: 1406 MB
django_session: 963 MB
easy_thumbnails_thumbnail: 736 kB
church_childrensbread: 464 kB
church_mantalk: 424 kB
church_wordoftruth: 304 kB
church_newsline: 288 kB
django_admin_log: 256 kB
easy_thumbnails_source: 256 kB
church_book: 208 kB
church_infocard: 208 kB
church_contactmessage: 120 kB
church_calendarevent: 96 kB
church_newsitem: 96 kB
auth_permission: 88 kB
auth_user: 64 kB
church_newslettersubscriber: 56 kB
django_site: 56 kB
church_partner: 48 kB
church_testimonial: 48 kB
church_sidebarpromo: 48 kB
church_verse: 48 kB
church_faq: 48 kB
church_galleryimage: 48 kB
django_content_type: 40 kB
django_migrations: 32 kB
auth_group_permissions: 32 kB
auth_user_groups: 32 kB
auth_user_user_permissions: 32 kB
church_ctacard: 32 kB
church_mensministry: 32 kB
church_schoolministryenrollment: 32 kB
church_aboutpage: 32 kB
church_partnerinquiry: 24 kB
church_herosettings: 24 kB
auth_group: 24 kB
church_mn: 24 kB
easy_thumbnails_thumbnaildimensions: 16 kB

--- ROW COUNTS (Top 10) ---
church_pageview: 5332889 rows
django_session: 2747762 rows
easy_thumbnails_thumbnail: 938 rows
church_childrensbread: 40 rows
church_mantalk: 31 rows
church_wordoftruth: 25 rows
church_newsline: 8 rows
django_admin_log: 883 rows
easy_thumbnails_source: 297 rows
church_book: 12 rows
